country_id,gender_id,age_group_id,suicides_per_100k,mhd_prevalence_percent
ATG,BTSX,1,0.0,
ATG,BTSX,2,0.0,
ATG,BTSX,3,0.0,
ATG,BTSX,4,0.0,
ATG,BTSX,6,0.0,
ATG,BTSX,7,0.0,
ATG,BTSX,8,0.0,
ATG,FMLE,1,0.0,
ATG,FMLE,2,0.0,
ATG,FMLE,3,0.0,
ATG,FMLE,4,0.0,
ATG,FMLE,6,0.0,
ATG,FMLE,7,0.0,
ATG,FMLE,8,0.0,
ATG,MLE,1,0.0,
ATG,MLE,2,0.0,
ATG,MLE,3,0.0,
ATG,MLE,4,0.0,
ATG,MLE,5,0.0,
ATG,MLE,6,0.0,
ATG,MLE,7,0.0,
ATG,MLE,8,0.0,
BRB,BTSX,1,0.0,
BRB,BTSX,2,0.0,
BRB,BTSX,5,0.0,
BRB,BTSX,6,0.0,
BRB,BTSX,8,0.0,
BRB,FMLE,1,0.0,
BRB,FMLE,2,0.0,
BRB,FMLE,3,0.0,
BRB,FMLE,4,0.0,
BRB,FMLE,5,0.0,
BRB,FMLE,6,0.0,
BRB,FMLE,8,0.0,
BRB,MLE,1,0.0,
BRB,MLE,2,0.0,
BRB,MLE,5,0.0,
BRB,MLE,6,0.0,
BRB,MLE,7,0.0,
BRB,MLE,8,0.0,
BRN,BTSX,1,0.0,
BRN,BTSX,5,0.0,
BRN,BTSX,6,0.0,
BRN,FMLE,1,0.0,
BRN,FMLE,3,0.0,
BRN,FMLE,5,0.0,
BRN,FMLE,6,0.0,
BRN,FMLE,7,0.0,
BRN,FMLE,8,0.0,
BRN,MLE,1,0.0,
BRN,MLE,5,0.0,
BRN,MLE,6,0.0,
CRI,FMLE,7,0.0,
CRI,FMLE,8,0.0,
GRD,BTSX,1,0.0,
GRD,BTSX,2,0.0,
GRD,BTSX,3,0.0,
GRD,BTSX,4,0.0,
GRD,BTSX,5,0.0,
GRD,BTSX,7,0.0,
GRD,BTSX,8,0.0,
GRD,FMLE,1,0.0,
GRD,FMLE,2,0.0,
GRD,FMLE,3,0.0,
GRD,FMLE,4,0.0,
GRD,FMLE,5,0.0,
GRD,FMLE,6,0.0,
GRD,FMLE,7,0.0,
GRD,FMLE,8,0.0,
GRD,MLE,1,0.0,
GRD,MLE,2,0.0,
GRD,MLE,3,0.0,
GRD,MLE,4,0.0,
GRD,MLE,5,0.0,
GRD,MLE,7,0.0,
GRD,MLE,8,0.0,
GUY,FMLE,8,0.0,
ISL,BTSX,7,0.0,
ISL,BTSX,8,0.0,
ISL,FMLE,2,0.0,
ISL,FMLE,3,0.0,
ISL,FMLE,7,0.0,
ISL,FMLE,8,0.0,
ISL,MLE,7,0.0,
ISL,MLE,8,0.0,
MLT,FMLE,8,0.0,
MUS,FMLE,7,0.0,
MUS,FMLE,8,0.0,
VCT,BTSX,4,0.0,
VCT,BTSX,5,0.0,
VCT,BTSX,6,0.0,
VCT,BTSX,8,0.0,
VCT,FMLE,1,0.0,
VCT,FMLE,2,0.0,
VCT,FMLE,3,0.0,
VCT,FMLE,4,0.0,
VCT,FMLE,5,0.0,
VCT,FMLE,6,0.0,
VCT,FMLE,7,0.0,
VCT,FMLE,8,0.0,
VCT,MLE,4,0.0,
VCT,MLE,5,0.0,
VCT,MLE,6,0.0,
VCT,MLE,8,0.0,
BRB,BTSX,3,0.35,
PAN,FMLE,3,0.47,
ARM,FMLE,3,0.56,
PAN,FMLE,4,0.56,
MDV,FMLE,3,0.57,
CRI,FMLE,6,0.58,
STP,FMLE,1,0.65,
HND,FMLE,2,0.67,
MWI,FMLE,3,0.67,
MDV,FMLE,4,0.68,
STP,FMLE,2,0.68,
VEN,FMLE,2,0.69,
BRB,BTSX,4,0.71,
BRB,MLE,3,0.72,
KWT,FMLE,1,0.72,
HND,FMLE,1,0.73,
KWT,FMLE,5,0.73,
VEN,FMLE,3,0.74,
HND,FMLE,3,0.75,
KWT,FMLE,4,0.76,
MLT,FMLE,7,0.76,
VEN,FMLE,4,0.76,
IRL,FMLE,8,0.78,
JOR,FMLE,1,0.78,
QAT,FMLE,5,0.78,
OMN,FMLE,4,0.8,
GRC,FMLE,1,0.81,
GHA,FMLE,1,0.84,
SYR,FMLE,1,0.84,
NGA,FMLE,1,0.85,
SYR,FMLE,5,0.85,
